Task,Category,Priority
Water weekly groceries for next week,Personal,Medium
Take notes for English vocabulary immediately,Study,High
Write online course,Study,Medium
Organize garden plants today,Personal,Medium
Read psychology notes as soon as possible,Study,Medium
Watch gym workout as soon as possible,Personal,Low
Submit physics numericals today,Study,High
Listen to garden plants for next week,Personal,Medium
Submit client proposal by tomorrow,Work,High
Organize dentist appointment by tomorrow,Personal,Medium
Develop quarterly sales data today,Work,Medium
Call bug in production immediately,Work,High
Prepare biology chapter,Study,Medium
Research geography project as soon as possible,Study,Medium
Write biology chapter by tomorrow,Study,Medium
Memorize coding challenge as soon as possible,Study,Medium
Watch math assignment immediately,Study,High
Clean yoga session for next week,Personal,Low
Research marketing strategy by tomorrow,Work,Medium
Fix contract for freelancer as soon as possible,Work,Medium
Water football with friends,Personal,Low
Buy garden plants by tomorrow,Personal,Medium
Update client proposal as soon as possible,Work,Medium
Water Netflix movie for next week,Personal,Low
Submit final exam as soon as possible,Study,High
Draft software feature today,Work,Medium
Attend online course,Study,Medium
Watch biology chapter,Study,Low
Read English vocabulary as soon as possible,Study,Medium
Study biology chapter immediately,Study,High
Prepare psychology notes,Study,Medium
Buy dentist appointment as soon as possible,Personal,Medium
Clean living room as soon as possible,Personal,Low
Submit physics numericals immediately,Study,High
Watch psychology notes immediately,Study,High
Fix bug in production today,Work,High
Submit online course today,Study,High
Exercise dentist appointment by tomorrow,Personal,Medium
Go to weekly groceries by tomorrow,Personal,Medium
Present office workstation as soon as possible,Work,Medium
Buy electricity bill today,Personal,High
Attend psychology notes for next week,Study,Medium
Present sprint plan by tomorrow,Work,Medium
Solve physics numericals for next week,Study,Medium
Listen to dentist appointment for next week,Personal,Medium
Attend bug in production as soon as possible,Work,High
Draft team meeting immediately,Work,High
Take notes for online course,Study,Medium
Memorize machine learning tutorial by tomorrow,Study,Medium
Watch Netflix movie immediately,Personal,High
Research sprint plan for next week,Work,Medium
Prepare English vocabulary,Study,Medium
Plan car immediately,Personal,High
Study psychology notes as soon as possible,Study,Medium
Schedule code documentation by tomorrow,Work,Medium
Play dentist appointment for next week,Personal,Medium
Watch weekend trip for next week,Personal,Low
Complete software feature today,Work,Medium
Revise online course as soon as possible,Study,Medium
Pay gym workout,Personal,Medium
Complete server maintenance,Work,Medium
Update software feature,Work,Medium
Organize electricity bill today,Personal,High
Listen to dentist appointment immediately,Personal,High
Coordinate quarterly sales data immediately,Work,High
Attend electricity bill immediately,Personal,High
Watch math assignment as soon as possible,Study,Low
Cook yoga session by tomorrow,Personal,Medium
Buy Netflix movie for next week,Personal,Low
Watch wardrobe today,Personal,Low
Water healthy dinner as soon as possible,Personal,Medium
Solve chemistry lab report by tomorrow,Study,Medium
Attend software feature immediately,Work,High
Exercise living room as soon as possible,Personal,Medium
Study coding challenge by tomorrow,Study,Medium
Pay wardrobe,Personal,Medium
Complete team meeting for next week,Work,High
Organize dentist appointment today,Personal,Medium
Watch final exam by tomorrow,Study,High
Play weekly groceries immediately,Personal,High
Take notes for final exam by tomorrow,Study,High
Read machine learning tutorial,Study,Medium
Listen to weekend trip for next week,Personal,Low
Water dancing class by tomorrow,Personal,Low
Organize car by tomorrow,Personal,Medium
Call software feature for next week,Work,Medium
Write physics numericals for next week,Study,Medium
Listen to football with friends for next week,Personal,Low
Develop quarterly sales data immediately,Work,High
Plan weekly groceries by tomorrow,Personal,Medium
Develop bug in production immediately,Work,High
Organize football with friends today,Personal,Low
Watch garden plants,Personal,Low
Review software feature for next week,Work,Medium
Write university library books immediately,Study,High
Clean gym workout immediately,Personal,High
Visit car for next week,Personal,Medium
Research LinkedIn profile for next week,Work,Medium
Attend team meeting by tomorrow,Work,High
Watch weekend trip,Personal,Low
Pay Netflix movie by tomorrow,Personal,Low
Call team meeting,Work,High
Visit dancing class,Personal,Low
Play favorite podcast,Personal,Low
Complete physics numericals,Study,Medium
Buy gym workout as soon as possible,Personal,Medium
Pay electricity bill immediately,Personal,High
Buy dentist appointment immediately,Personal,High
Call quarterly sales data as soon as possible,Work,Medium
Play electricity bill as soon as possible,Personal,High
Review budget sheet,Work,Medium
Coordinate client proposal as soon as possible,Work,Medium
Solve physics numericals,Study,Medium
Complete biology chapter today,Study,Medium
Draft server maintenance by tomorrow,Work,Medium
Revise online course immediately,Study,High
Submit software feature,Work,High
Analyze business lead for next week,Work,Medium
Complete budget sheet today,Work,Medium
Analyze contract for freelancer,Work,Medium
Plan weekly groceries immediately,Personal,High
Watch university library books by tomorrow,Study,Low
Present code documentation today,Work,Medium
Pay gym workout by tomorrow,Personal,Medium
Organize gym workout immediately,Personal,High
Review marketing strategy immediately,Work,High
Visit weekly groceries,Personal,Medium
Research coding challenge today,Study,Medium
Review contract for freelancer as soon as possible,Work,Medium
Prepare biology chapter immediately,Study,High
Call server maintenance for next week,Work,Medium
Research quarterly sales data by tomorrow,Work,Medium
Write online course today,Study,Medium
Attend budget sheet by tomorrow,Work,Medium
Solve final exam for next week,Study,High
Write math assignment as soon as possible,Study,Medium
Clean weekend trip by tomorrow,Personal,Low
Schedule office workstation today,Work,Medium
Coordinate bug in production as soon as possible,Work,High
Solve online course immediately,Study,High
Study coding challenge for next week,Study,Medium
Study final exam for next week,Study,High
Complete physics numericals immediately,Study,High
Present marketing strategy by tomorrow,Work,Medium
Fix LinkedIn profile immediately,Work,High
Solve chemistry lab report,Study,Medium
Schedule team meeting,Work,High
Write English vocabulary by tomorrow,Study,Medium
Present business lead by tomorrow,Work,Medium
Attend chemistry lab report immediately,Study,High
Review server maintenance,Work,Medium
Draft business lead as soon as possible,Work,Medium
Wash healthy dinner today,Personal,Medium
Organize car immediately,Personal,High
Research thesis introduction as soon as possible,Study,Medium
Take notes for math assignment today,Study,Medium
Draft bug in production as soon as possible,Work,High
Prepare physics numericals immediately,Study,High
Practice history essay by tomorrow,Study,Medium
Submit math assignment,Study,High
Research math assignment today,Study,Medium
Develop project report immediately,Work,High
Practice university library books by tomorrow,Study,Medium
Submit contract for freelancer by tomorrow,Work,High
Develop quarterly sales data,Work,Medium
Submit final exam,Study,High
Organize weekend trip immediately,Personal,High
Write psychology notes as soon as possible,Study,Medium
Water car immediately,Personal,High
Wash gym workout today,Personal,Medium
Submit geography project by tomorrow,Study,High
Go to yoga session immediately,Personal,High
Draft team meeting,Work,High
Attend electricity bill,Personal,High
Update team meeting as soon as possible,Work,High
Play wardrobe,Personal,Medium
Solve machine learning tutorial today,Study,Medium
Take notes for coding challenge as soon as possible,Study,Medium
Update sprint plan today,Work,Medium
Submit university library books for next week,Study,High
Analyze contract for freelancer as soon as possible,Work,Medium
Buy favorite podcast for next week,Personal,Low
Cook weekly groceries as soon as possible,Personal,Medium
Develop server maintenance by tomorrow,Work,Medium
Write history essay by tomorrow,Study,Medium
Solve thesis introduction,Study,Medium
Clean Netflix movie today,Personal,Low
Coordinate budget sheet,Work,Medium
Submit office workstation as soon as possible,Work,High
Prepare online course,Study,Medium
Exercise football with friends,Personal,Low
Attend final exam,Study,High
Write thesis introduction as soon as possible,Study,Medium
Plan football with friends for next week,Personal,Low
Memorize online course immediately,Study,High
Attend marketing strategy as soon as possible,Work,Medium
Solve university library books,Study,Medium
Coordinate server maintenance by tomorrow,Work,Medium
Submit coding challenge for next week,Study,High
Cook electricity bill,Personal,High
Solve math assignment today,Study,Medium
Fix budget sheet by tomorrow,Work,Medium
Memorize English vocabulary today,Study,Medium
Cook living room for next week,Personal,Medium
Take notes for psychology notes for next week,Study,Medium
Organize LinkedIn profile today,Work,Medium
Prepare history essay by tomorrow,Study,Medium
Water weekly groceries by tomorrow,Personal,Medium
Exercise wardrobe by tomorrow,Personal,Medium
Research geography project today,Study,Medium
Clean weekly groceries immediately,Personal,High
Attend math assignment for next week,Study,Medium
Write physics numericals as soon as possible,Study,Medium
Prepare chemistry lab report,Study,Medium
Clean weekly groceries by tomorrow,Personal,Low
Complete machine learning tutorial,Study,Medium
Write physics numericals by tomorrow,Study,Medium
Solve coding challenge for next week,Study,Medium
Review marketing strategy as soon as possible,Work,Medium
Practice psychology notes as soon as possible,Study,Medium
Solve physics numericals immediately,Study,High
Solve biology chapter for next week,Study,Medium
Go to car,Personal,Medium
Prepare online course for next week,Study,Medium
Submit psychology notes today,Study,High
Water living room by tomorrow,Personal,Medium
Plan wardrobe by tomorrow,Personal,Medium
Develop marketing strategy,Work,Medium
Develop quarterly sales data as soon as possible,Work,Medium
Clean favorite podcast for next week,Personal,Low
Coordinate contract for freelancer as soon as possible,Work,Medium
Attend weekly groceries immediately,Personal,High
Buy electricity bill immediately,Personal,High
Study physics numericals for next week,Study,Medium
Prepare history essay,Study,Medium
Write thesis introduction for next week,Study,Medium
Fix LinkedIn profile for next week,Work,Medium
Fix contract for freelancer today,Work,Medium
Visit yoga session,Personal,Medium
Update server maintenance as soon as possible,Work,Medium
Submit chemistry lab report as soon as possible,Study,High
Attend code documentation immediately,Work,High
Prepare history essay for next week,Study,Medium
Pay football with friends as soon as possible,Personal,Low
Study coding challenge,Study,Medium
Attend contract for freelancer immediately,Work,High
Listen to weekly groceries for next week,Personal,Medium
Organize budget sheet by tomorrow,Work,Medium
Research coding challenge for next week,Study,Medium
Prepare thesis introduction,Study,Medium
Prepare history essay as soon as possible,Study,Medium
Review bug in production,Work,High
Cook favorite podcast by tomorrow,Personal,Low
Plan football with friends today,Personal,Low
Listen to Netflix movie as soon as possible,Personal,Low
Solve geography project as soon as possible,Study,Medium
Research math assignment,Study,Medium
Watch coding challenge for next week,Study,Low
Play living room as soon as possible,Personal,Medium
Review contract for freelancer today,Work,Medium
Research code documentation as soon as possible,Work,Medium
Coordinate budget sheet as soon as possible,Work,Medium
Attend garden plants today,Personal,Medium
Water Netflix movie,Personal,Low
Submit budget sheet by tomorrow,Work,High
Revise biology chapter immediately,Study,High
Listen to gym workout as soon as possible,Personal,Medium
Present quarterly sales data by tomorrow,Work,Medium
Play weekend trip for next week,Personal,Low
Email team meeting today,Work,High
Read online course for next week,Study,Medium
Water gym workout by tomorrow,Personal,Medium
Visit healthy dinner today,Personal,Medium
Analyze server maintenance today,Work,Medium
Schedule office workstation immediately,Work,High
Attend code documentation by tomorrow,Work,Medium
Buy football with friends for next week,Personal,Low
Plan electricity bill for next week,Personal,High
Develop bug in production for next week,Work,High
Water yoga session as soon as possible,Personal,Medium
Develop LinkedIn profile immediately,Work,High
Memorize final exam for next week,Study,High
Attend final exam immediately,Study,High
Review marketing strategy,Work,Medium
Research online course,Study,Medium
Take notes for history essay as soon as possible,Study,Medium
Plan favorite podcast by tomorrow,Personal,Low
Organize bug in production,Work,High
Take notes for biology chapter,Study,Medium
Solve history essay,Study,Medium
Cook yoga session immediately,Personal,High
Attend client proposal for next week,Work,Medium
Schedule business lead today,Work,Medium
Listen to gym workout by tomorrow,Personal,Medium
Complete LinkedIn profile immediately,Work,High
Buy favorite podcast immediately,Personal,High
Attend history essay,Study,Medium
Coordinate marketing strategy today,Work,Medium
Submit online course for next week,Study,High
Organize budget sheet immediately,Work,High
Water garden plants for next week,Personal,Medium
Memorize psychology notes as soon as possible,Study,Medium
Pay weekly groceries immediately,Personal,High
Memorize psychology notes by tomorrow,Study,Medium
Solve geography project,Study,Medium
Review contract for freelancer by tomorrow,Work,Medium
Read English vocabulary by tomorrow,Study,Medium
Visit Netflix movie today,Personal,Low
Fix business lead for next week,Work,Medium
Attend gym workout as soon as possible,Personal,Medium
Take notes for math assignment by tomorrow,Study,Medium
Go to yoga session as soon as possible,Personal,Medium
Research math assignment for next week,Study,Medium
Draft code documentation today,Work,Medium
Play dentist appointment immediately,Personal,High
Schedule project report today,Work,Medium
Revise geography project,Study,Medium
Clean car as soon as possible,Personal,Low
Plan dentist appointment for next week,Personal,Medium
Analyze LinkedIn profile as soon as possible,Work,Medium
Exercise yoga session as soon as possible,Personal,Medium
Buy weekend trip today,Personal,Low
Organize football with friends by tomorrow,Personal,Low
Read thesis introduction today,Study,Medium
Watch gym workout for next week,Personal,Low
Take notes for psychology notes immediately,Study,High
Memorize math assignment immediately,Study,High
Buy gym workout,Personal,Medium
Revise coding challenge by tomorrow,Study,Medium
Research client proposal as soon as possible,Work,Medium
Pay dancing class,Personal,Low
Attend dentist appointment,Personal,Medium
Water dentist appointment,Personal,Medium
Memorize geography project immediately,Study,High
Write final exam immediately,Study,High
Draft server maintenance today,Work,Medium
Complete coding challenge immediately,Study,High
Solve history essay immediately,Study,High
Plan weekend trip,Personal,Low
Attend thesis introduction immediately,Study,High
Submit code documentation immediately,Work,High
Visit gym workout,Personal,Medium
Take notes for final exam today,Study,High
Submit project report,Work,High
Schedule budget sheet for next week,Work,Medium
Buy gym workout for next week,Personal,Medium
Submit university library books,Study,High
Visit weekly groceries by tomorrow,Personal,Medium
Attend yoga session by tomorrow,Personal,Medium
Complete thesis introduction immediately,Study,High
Visit wardrobe immediately,Personal,High
Fix quarterly sales data as soon as possible,Work,Medium
Watch weekly groceries immediately,Personal,High
Attend office workstation by tomorrow,Work,Medium
Clean healthy dinner,Personal,Low
Exercise Netflix movie,Personal,Low
Submit university library books immediately,Study,High
Review bug in production for next week,Work,High
Email team meeting,Work,High
Research coding challenge immediately,Study,High
Present project report immediately,Work,High
Cook football with friends as soon as possible,Personal,Low
Draft LinkedIn profile as soon as possible,Work,Medium
Watch coding challenge immediately,Study,High
Attend weekend trip immediately,Personal,High
Go to weekly groceries today,Personal,Medium
Review software feature,Work,Medium
Solve thesis introduction for next week,Study,Medium
Wash yoga session as soon as possible,Personal,Medium
Submit LinkedIn profile for next week,Work,High
Research project report today,Work,Medium
Listen to living room today,Personal,Medium
Submit coding challenge today,Study,High
Review sprint plan by tomorrow,Work,Medium
Visit favorite podcast today,Personal,Low
Prepare final exam as soon as possible,Study,High
Fix office workstation today,Work,Medium
Present marketing strategy,Work,Medium
Develop budget sheet today,Work,Medium
Present business lead for next week,Work,Medium
Email quarterly sales data as soon as possible,Work,Medium
Practice chemistry lab report,Study,Medium
Prepare coding challenge as soon as possible,Study,Medium
Solve math assignment immediately,Study,High
Write chemistry lab report by tomorrow,Study,Medium
Draft bug in production immediately,Work,High
Organize budget sheet today,Work,Medium
Practice math assignment immediately,Study,High
Update office workstation for next week,Work,Medium
Wash car for next week,Personal,Medium
Present office workstation by tomorrow,Work,Medium
Update contract for freelancer,Work,Medium
Attend weekly groceries as soon as possible,Personal,Medium
Water dentist appointment immediately,Personal,High
Attend garden plants immediately,Personal,High
Prepare thesis introduction as soon as possible,Study,Medium
Draft project report as soon as possible,Work,Medium
Memorize coding challenge,Study,Medium
Submit thesis introduction by tomorrow,Study,High
Buy yoga session immediately,Personal,High
Watch football with friends for next week,Personal,Low
Memorize thesis introduction,Study,Medium
Exercise weekly groceries as soon as possible,Personal,Medium
Buy gym workout by tomorrow,Personal,Medium
Fix bug in production,Work,High
Call team meeting by tomorrow,Work,High
Take notes for biology chapter for next week,Study,Medium
Wash gym workout immediately,Personal,High
Complete LinkedIn profile today,Work,Medium
Call budget sheet as soon as possible,Work,Medium
Organize project report as soon as possible,Work,Medium
Practice physics numericals by tomorrow,Study,Medium
Analyze code documentation as soon as possible,Work,Medium
Memorize physics numericals immediately,Study,High
Draft LinkedIn profile,Work,Medium
Fix team meeting today,Work,High
Water healthy dinner immediately,Personal,High
Cook football with friends by tomorrow,Personal,Low
Take notes for geography project for next week,Study,Medium
Plan weekend trip immediately,Personal,High
Organize LinkedIn profile by tomorrow,Work,Medium
Wash garden plants,Personal,Medium
Pay favorite podcast,Personal,Low
Listen to favorite podcast for next week,Personal,Low
Draft budget sheet by tomorrow,Work,Medium
Plan Netflix movie for next week,Personal,Low
Plan favorite podcast immediately,Personal,High
Attend yoga session,Personal,Medium
Research university library books as soon as possible,Study,Medium
Analyze team meeting by tomorrow,Work,High
Go to living room,Personal,Medium
Research thesis introduction for next week,Study,Medium
Submit history essay by tomorrow,Study,High
Revise chemistry lab report immediately,Study,High
Write biology chapter today,Study,Medium
Attend marketing strategy,Work,Medium
Complete client proposal by tomorrow,Work,Medium
Cook garden plants today,Personal,Medium
Present LinkedIn profile,Work,Medium
Coordinate client proposal for next week,Work,Medium
Fix client proposal today,Work,Medium
Solve online course as soon as possible,Study,Medium
Present marketing strategy for next week,Work,Medium
Revise physics numericals today,Study,Medium
Watch online course immediately,Study,High
Organize wardrobe today,Personal,Medium
Submit thesis introduction for next week,Study,High
Attend English vocabulary for next week,Study,Medium
Coordinate team meeting today,Work,High
Watch geography project immediately,Study,High
Exercise living room today,Personal,Medium
Listen to favorite podcast today,Personal,Low
Practice coding challenge immediately,Study,High
Analyze client proposal as soon as possible,Work,Medium
Attend coding challenge for next week,Study,Medium
Update software feature immediately,Work,High
Complete university library books,Study,Medium
Listen to living room as soon as possible,Personal,Medium
Draft office workstation today,Work,Medium
Take notes for coding challenge immediately,Study,High
Attend physics numericals as soon as possible,Study,Medium
Buy healthy dinner,Personal,Medium
Study history essay immediately,Study,High
Write chemistry lab report as soon as possible,Study,Medium
Attend physics numericals for next week,Study,Medium
Analyze office workstation as soon as possible,Work,Medium
Clean wardrobe,Personal,Low
Fix software feature for next week,Work,Medium
Listen to healthy dinner as soon as possible,Personal,Medium
Develop team meeting for next week,Work,High
Plan Netflix movie,Personal,Low
Visit car,Personal,Medium
Plan gym workout as soon as possible,Personal,Medium
Watch coding challenge today,Study,Low
Attend sprint plan as soon as possible,Work,Medium
Revise history essay immediately,Study,High
Revise math assignment as soon as possible,Study,Medium
Study coding challenge as soon as possible,Study,Medium
Complete client proposal immediately,Work,High
Email budget sheet today,Work,Medium
Play dancing class by tomorrow,Personal,Low
Play favorite podcast today,Personal,Low
Watch coding challenge as soon as possible,Study,Low
Clean electricity bill immediately,Personal,High
Pay garden plants as soon as possible,Personal,Medium
Read math assignment immediately,Study,High
Email budget sheet for next week,Work,Medium
Take notes for biology chapter by tomorrow,Study,Medium
Call budget sheet for next week,Work,Medium
Prepare chemistry lab report by tomorrow,Study,Medium
Play electricity bill by tomorrow,Personal,High
Present budget sheet by tomorrow,Work,Medium
Complete project report,Work,Medium
Attend thesis introduction,Study,Medium
Wash gym workout for next week,Personal,Medium
